0.00B 	base
0.00B 	ca-certificates
1024.00B 	pulseaudio-alsa
1974.00B 	pambase
2048.00B 	ff2mpv-native-messaging-host-git
2048.00B 	ix
4.50KiB 	systemd-sysvcompat
5.37KiB 	sway-launcher-desktop-git
6.04KiB 	ca-certificates-utils
6.26KiB 	wl-clipboard-x11
16.77KiB 	wireless-regdb
21.55KiB 	android-udev
24.00KiB 	libutempter
26.00KiB 	xcb-util-keysyms
27.00KiB 	systemd-swap
29.00KiB 	brightnessctl
29.00KiB 	dex
29.24KiB 	pacman-mirrorlist
32.18KiB 	libuinputplus-git
33.00KiB 	grim
33.00KiB 	xcb-util-renderutil
33.87KiB 	libmnl
34.38KiB 	which
34.74KiB 	gtk-update-icon-cache
35.00KiB 	libxfixes
35.00KiB 	xcb-util
36.07KiB 	zsh-history-substring-search
37.00KiB 	libxxf86vm
39.00KiB 	libnfnetlink
39.30KiB 	npth
39.33KiB 	arch-install-scripts
40.42KiB 	filesystem
40.46KiB 	x86_energy_perf_policy
41.00KiB 	zsh-autosuggestions
44.00KiB 	libxkbcommon-x11
44.00KiB 	sdl2_ttf
45.00KiB 	perl-error
45.61KiB 	efibootmgr
46.00KiB 	libxshmfence
46.00KiB 	swaybg
48.00KiB 	libasyncns
50.00KiB 	libdiscid
54.00KiB 	xcb-util-image
54.30KiB 	python-ordered-set
54.61KiB 	libevdevplus-git
56.00KiB 	libdaemon
58.00KiB 	libxdamage
62.00KiB 	libxv
62.00KiB 	startup-notification
62.00KiB 	xorg-setxkbmap
66.00KiB 	libdatrie
66.00KiB 	libxau
66.18KiB 	libffi
69.00KiB 	libxinerama
70.00KiB 	xorg-xset
71.00KiB 	pbzip2
72.00KiB 	libxcomposite
73.33KiB 	neovim-plug
74.00KiB 	slurp
75.00KiB 	libtermkey
75.00KiB 	libxss
75.84KiB 	python-appdirs
76.00KiB 	hicolor-icon-theme
79.00KiB 	libxrender
79.70KiB 	libgssglue
80.00KiB 	libfontenc
82.00KiB 	zita-alsa-pcmi
83.00KiB 	mtdev
84.00KiB 	perl-timedate
84.00KiB 	wf-recorder-git
84.00KiB 	xorg-xprop
85.00KiB 	atool
85.00KiB 	liblqr
85.59KiB 	minizip
86.00KiB 	rtkit
86.00KiB 	xcb-util-errors
87.28KiB 	libpipeline
87.73KiB 	python-six
91.00KiB 	gsm
94.00KiB 	libpciaccess
97.51KiB 	libcap-ng
98.00KiB 	mailcap
101.51KiB 	mkinitcpio
103.64KiB 	pacman-contrib
107.00KiB 	web-media-controller-mpris-git
108.00KiB 	libavc1394
109.00KiB 	perl-mailtools
111.00KiB 	zsh-syntax-highlighting
113.49KiB 	argon2
118.00KiB 	libxcursor
118.00KiB 	libxtst
120.00KiB 	libxrandr
123.20KiB 	libcap
127.21KiB 	xorg-server-common
128.00KiB 	libdbusmenu-gtk3
128.00KiB 	libvterm
133.00KiB 	libraqm
133.78KiB 	fakeroot
135.00KiB 	wl-clipboard
136.84KiB 	libmpc
139.00KiB 	pamixer
139.00KiB 	pianobar
140.00KiB 	mako
140.64KiB 	faac
141.65KiB 	python-packaging
144.00KiB 	bzip2
147.06KiB 	sysfsutils
151.00KiB 	libiec61883
152.22KiB 	json-c
152.81KiB 	grml-zsh-config
156.03KiB 	pkgconf
156.38KiB 	libassuan
156.95KiB 	gzip
159.00KiB 	libnetfilter_conntrack
162.00KiB 	libraw1394
163.00KiB 	libxft
163.00KiB 	vid.stab
164.00KiB 	uchardet
165.00KiB 	libluv
167.00KiB 	pigz
170.00KiB 	double-conversion
175.00KiB 	libxdmcp
176.25KiB 	keyutils
177.94KiB 	dosfstools
178.18KiB 	libusb
182.00KiB 	imv
189.55KiB 	libpsl
195.40KiB 	libnsl
197.00KiB 	pulseaudio-bluetooth
197.75KiB 	patch
198.00KiB 	libao
199.00KiB 	zita-resampler
205.92KiB 	qt5-imageformats
210.00KiB 	desktop-file-utils
211.00KiB 	unibilium
211.35KiB 	attr
212.00KiB 	c-ares
215.00KiB 	bemenu
217.00KiB 	htop-devel
218.00KiB 	at-spi2-atk
219.00KiB 	xorg-xkbcomp
220.17KiB 	popt
222.00KiB 	xcb-util-wm
224.00KiB 	fribidi
228.72KiB 	crda
231.07KiB 	libnftnl
234.83KiB 	tdb
237.00KiB 	lsof
237.49KiB 	less
239.00KiB 	libxkbfile
245.56KiB 	pantheon-calculator
252.00KiB 	sbc
253.00KiB 	opencore-amr
257.93KiB 	libedit
258.96KiB 	iw
260.55KiB 	m4
262.19KiB 	pciutils
262.27KiB 	libtasn1
268.91KiB 	alsa-plugins
269.00KiB 	libass
272.00KiB 	libunwind
277.00KiB 	ocl-icd
279.00KiB 	libnotify
283.10KiB 	xdg-utils
283.68KiB 	bluez-libs
284.06KiB 	iputils
285.13KiB 	libksba
288.00KiB 	libxfont2
289.40KiB 	usbutils
290.00KiB 	neofetch
292.21KiB 	expat
300.00KiB 	libevdev
304.00KiB 	giflib
305.00KiB 	libvdpau
309.62KiB 	ydotool-git
313.00KiB 	libsoxr
314.00KiB 	libsm
323.45KiB 	acl
331.00KiB 	libdbusmenu-glib
333.56KiB 	zlib
339.46KiB 	libproxy
343.76KiB 	libnghttp2
347.00KiB 	libmodplug
348.00KiB 	unzip
355.03KiB 	efivar
356.00KiB 	libgudev
366.00KiB 	libmpdclient
367.00KiB 	libxext
369.47KiB 	vulkan-icd-loader
375.00KiB 	pcsclite
391.00KiB 	libxmu
396.00KiB 	cairomm
398.48KiB 	libidn2
402.01KiB 	lzo
404.00KiB 	libcanberra
407.00KiB 	wayland-protocols
409.06KiB 	lz4
410.00KiB 	libice
410.33KiB 	libssh2
415.86KiB 	licenses
441.00KiB 	dconf
454.57KiB 	libtirpc
459.01KiB 	pacutils
463.86KiB 	ell
477.00KiB 	pangomm
482.19KiB 	kmod
485.00KiB 	tslib
489.73KiB 	gdbm
491.00KiB 	glu
494.00KiB 	sound-theme-freedesktop
