alacritty 0.2.9-1
alsa-plugins 1.1.8-1
alsa-utils 1.1.8-1
android-file-transfer 3.7-2
android-sdk-platform-tools 28.0.2-1
android-tools 9.0.0_r30-2
android-udev 20190315-1
ark 18.12.3-1
autoconf 2.69-5
automake 1.16.1-1
avocode 3.7.1-1
bash 5.0.002-1
binutils 2.31.1-4
bison 3.3.2-1
bleachbit 2.2-1
breeze-gtk 5.15.4-1
breezemite-yakuake-git 0.1-2
brotli 1.0.7-1
bzip2 1.0.6-8
cava 0.6.1-1
chromium 73.0.3683.103-2
clinfo 2.2.18.04.06-1
cmake 3.14.2-1
code 1.33.1-1
color-picker 1.1.2-1
conky 1.11.3-1
conky-manager 2.4-3
converseen 0.9.7.2-3
coreutils 8.31-1
cpupower 5.0-1
cryptsetup 2.1.0-1
device-mapper 2.02.184-3
dhcpcd 7.0.8-1
diffutils 3.7-1
dina-font 2.92-7
dkms 2.5-4
docker 1:18.09.5-1
dolphin 18.12.3-1
e2fsprogs 1.45.0-1
efivar 35-1
exfat-utils 1.3.0-1
extra-cmake-modules 5.56.0-1
f2fs-tools 1.12.0-2
fakeroot 1.23-1
falkon 3.1.0-3
file 5.36-1
filelight 18.12.3-1
filesystem 2018.12-2
findutils 4.6.0-4
firefox-developer-edition 67.0b10-1
flameshot 0.6.0-3
flex 2.6.4-2
gawk 4.2.1-2
gcc 8.2.1+20181127-1
gcc-libs 8.2.1+20181127-1
gettext 0.19.8.1-3
gist 5.0.0-1
git 2.21.0-1
glibc 2.28-5
gpart 0.3-2
gparted 0.33.0-1
graphicsmagick 1.3.31-1
grep 3.3-1
grml-zsh-config 0.16.0-1
groff 1.22.3-8
gst-libav 1.14.4+2+gc324028-1
gst-plugins-good 1.14.4-2
gulp-cli 2.0.1-1
gzip 1.10-1
hdparm 9.58-1
htop 2.2.0-2
hwinfo 21.60-1
i7z 0.27.2.git1-5
imagemagick 7.0.8.39-1
inetutils 1.9.4-7
intel-ucode 20190312-1
iotop 0.6-6
iproute2 5.0.0-1
iputils 20180629.f6aac8d-4
jfsutils 1.1.15-6
jp2a 1.0.7-2
kate 18.12.3-1
kcalc 18.12.3-1
kde-gtk-config 5.15.4-1
kdeconnect 1.3.4-1
kdialog 18.12.3-1
kfind 18.12.3-1
kinfocenter 5.15.4-1
kompare 18.12.3-1
konsole 18.12.3-1
konsole-colorscheme-arc-git 2:20180614.r9.g544ece1-1
krita 4.1.8-2
kscreen 5.15.4-1
